x,y,z,t
-3.4123275124673906,-5.383549741027078,20.292166972150408,60.68
-3.610371662807846,-5.605460627986689,19.94862400077718,60.69
-3.8119941283766474,-5.8529840378993825,19.633448388617207,60.7
-4.01917683854287,-6.126452279473276,19.348233988854137,60.71
-4.233908724501035,-6.426085589721214,19.094731225571156,60.72
-4.458081692393075,-6.752161366256245,18.874779091185896,60.73
-4.693193599220956,-7.10482165643571,18.690883785209625,60.74
-4.940711563676011,-7.483898752448454,18.545854619182485,60.75
-5.2020959876568025,-7.889235825554454,18.442518343375518,60.76
-5.478490032572263,-8.320482003452986,18.38423727481755,60.77
-5.770715526645462,-8.776273892444422,18.374979160650682,60.78
-6.079585456677215,-9.255082727868968,18.41873901560794,60.79
-6.405855226366238,-9.755336006379283,18.51966501301681,60.8
-6.749613506413994,-10.273913522818287,18.682479073053386,60.81
-7.110522660748833,-10.80628190590095,18.91178198223454,60.82
-7.488238508407321,-11.34787034910533,19.21215749957275,60.83
-7.882084992309591,-11.89324869616565,19.588372000314525,60.84
-8.290035416541505,-12.433771944218739,20.043880681335065,60.85
-8.709733617936008,-12.96005695585604,20.581483767640826,60.86
-9.138755898646693,-13.462507314030994,21.2039913388083,60.87
-9.573281810122106,-13.928815613634676,21.911758052676614,60.88
-10.008175992279684,-14.345042234248448,22.701388058862083,60.89
-10.438251445018029,-14.697249146253068,23.569235175467643,60.9
-10.857500884192666,-14.970430114713785,24.509634897848436,60.91
-11.258278966172512,-15.150422757200172,25.50946239145624,60.92
-11.632864828903697,-15.224299176212485,26.553871429764758,60.93
-11.973283856564727,-15.179096539791734,27.62724485235906,60.94
-12.270670106672785,-15.006404277901686,28.707366399773086,60.95
-12.517283586934713,-14.704429756134248,29.770061261667294,60.96
-12.705520990498158,-14.271813047903255,30.791247854285047,60.97
-12.827987500874215,-13.712581697480624,31.74466395726666,60.98
-12.880427746821713,-13.04095336569235,32.60748425342473,60.99
-12.859439207739662,-12.272243192490691,33.35867241022843,61.0
-12.762706514158006,-11.425709883469814,33.978666284174494,61.01
-12.59226912577665,-10.526030200896436,34.45821270808384,61.02
-12.35120701155507,-9.597550306724724,34.79121122221849,61.03
-12.043861215374953,-8.66575068593016,34.97418596683965,61.04
-11.678086212233763,-7.752921508593684,35.01430396396723,61.05
-11.262205263266098,-6.878493729741131,34.92142855706347,61.06
-10.8050716361638,-6.0611140537307335,34.70655491002025,61.07
-10.31693256662071,-5.312186803699027,34.38539388499838,61.08
-9.807514745167659,-4.639236298875795,33.974105877182204,61.09
-9.286583110422354,-4.048250513341869,33.48894887861453,61.1
-8.762852825837317,-3.538994250714146,32.94499705160492,61.11
-8.244283732064082,-3.1096613038247964,32.356378564232756,61.12
-7.738160522725075,-2.75680829057261,31.736019966668593,61.13
